Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,Close_3d_fut,Close_7d_fut,Close_15d_fut,Close_30d_fut,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2023-07-10,10.503499031066896,10.640620954147408,10.402943651576692,10.512640666964472,582900,1485.5,1547.25,1483.0,1494.5,4.9187,4.8399,4.8556,4.7855,10.52178192138672,10.47607421875,10.622337341308594,12.194663047790527,-130900,10.397546809778737,10.453818428499684,10.515687878930331,10.610763379547286,9.984722232818603,9.35868108608992
2023-07-11,10.594913482666016,10.594913482666016,10.247539170077612,10.503498868692194,194700,1508.0,1525.75,1557.25,1521.0,4.8709,4.8472,4.7842,4.7673,10.329811096191406,10.393800735473633,10.805164337158203,12.596884727478027,63800,10.473246680795542,10.557042219875719,10.479122045136547,10.697039544010027,10.013974809646607,9.330910075283187
2023-07-12,10.677186012268066,10.823448691045272,10.47607439305224,10.64976110615159,266800,1520.5,1485.5,1562.0,1495.0,4.8982,4.9187,4.8065,4.8105,10.238396644592283,10.631478309631348,10.69546890258789,12.743146896362305,330600,10.551458809486991,10.657725919280415,10.65890303212186,10.791209237012973,10.046426916122437,9.3016445952319
2023-07-13,10.52178192138672,10.786883250244331,10.494357014688298,10.786883250244331,260100,1488.5,1508.0,1547.25,1451.0,4.8515,4.8709,4.8399,4.8505,10.69546890258789,10.832590103149414,10.768599510192873,12.834562301635742,70500,10.540416896464134,10.672949650657188,10.601007395439781,10.846923534645187,10.073394203186036,9.299864871726884
2023-07-14,10.329811096191406,10.613194801417414,10.311527826541068,10.576629133911016,124100,1518.0,1520.5,1525.75,1483.0,4.8169,4.8982,4.8472,4.8556,10.47607421875,10.668044090270996,10.914862632751465,12.743146896362305,-53600,10.460183465698428,10.611129391674353,10.418177908049962,10.871913578461593,10.093048286437988,9.314182994414383
2023-07-17,10.238396644592283,10.457790652910608,10.110417242303743,10.338952885583904,220400,1495.75,1488.5,1485.5,1557.25,4.7948,4.8515,4.9187,4.7842,10.393800735473633,10.421224594116213,10.786882400512695,13.008249282836914,-274000,10.375620401897004,10.527263065151828,10.268868179935545,10.88382104966687,10.102646780014037,9.321472510361204
2023-07-18,10.69546890258789,10.74117620975423,10.165266231764848,10.338953824638065,291100,1484.0,1518.0,1508.0,1562.0,4.7881,4.8169,4.8709,4.8065,10.631478309631348,10.613195419311523,10.576629638671877,13.639007568359377,17100,10.498186190761851,10.61943623778215,10.533970448035655,10.960155306154627,10.137384271621704,9.31461323708878
2023-07-19,10.47607421875,10.7594588080116,10.33895317762639,10.7594588080116,144800,1492.0,1495.75,1520.5,1547.25,4.8058,4.7948,4.8982,4.8399,10.832590103149414,10.40294361114502,10.457791328430176,13.611584663391112,-127700,10.490129458251396,10.60800420551685,10.524828734795996,10.991909022365856,10.170293378829957,9.348677735294057
2023-07-20,10.393800735473633,10.512639372121626,10.366376702953104,10.512639372121626,103700,1491.5,1484.0,1488.5,1525.75,4.8093,4.7881,4.8515,4.8472,10.668044090270996,10.622337341308594,10.677186012268066,13.392189025878906,-231400,10.453711821147927,10.56657123231933,10.424272270182788,11.009422782217536,10.198631763458252,9.387840744698968
2023-07-21,10.631478309631348,10.649760707897652,10.4029426646396,10.512639669620324,195100,1495.0,1492.0,1518.0,1485.5,4.7899,4.8058,4.8169,4.9187,10.421224594116213,10.805164337158203,11.417640686035156,13.236783981323242,-36300,10.521910960485679,10.614889450470422,10.5613938940562,11.048297906808495,10.241596460342407,9.43489501387632
2023-07-24,10.832590103149414,10.832590103149414,10.60405445432174,10.649760886651825,199400,1501.0,1491.5,1495.75,1508.0,4.7969,4.8093,4.7948,4.8709,10.613195419311523,10.69546890258789,11.728449821472168,12.779712677001951,163100,10.640935096972854,10.718110342120116,10.75641155354019,11.113654426826512,10.292788457870483,9.471922488914453
