Date,Close,High,Low,Open,Volume,target_3d,target_7d,target_15d,target_30d,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2023-06-09,10.009861946105955,10.073852525084355,9.945872238921934,10.055569253434992,301000,0,0,0,1,-2553100,9.91934689353494,9.78224141144156,10.009862236704082,11.204463789140306,10.312899971008301,9.421336152876297
2023-06-12,10.028143882751465,10.092133581416812,9.973294946899552,10.05556791478029,211400,1,0,1,1,-2341700,9.960557169653097,9.832060308941646,10.031190803689276,11.10105404305802,10.263993310928345,9.42693257879867
2023-06-13,9.982436180114746,10.128698840779627,9.891021581302082,10.119557206539518,155100,1,0,1,1,-2496800,9.96865980717038,9.857457428363615,10.000718867398819,10.94962359813992,10.20731644630432,9.46500929446872
2023-06-14,9.936729431152344,10.06470970222068,9.872739731515312,9.982436733090626,255900,0,0,1,1,-2752700,9.956347513875903,9.863798285915111,9.958059621629445,10.871897780325433,10.166637039184568,9.461376298043703
2023-06-15,10.046426773071287,10.101275711614203,9.927588132723557,9.964153801154067,453300,0,0,1,1,-2299400,9.990706687524884,9.909619751888059,10.025096872469682,10.797413664612625,10.134642028808592,9.47187039300456
2023-06-16,10.00071907043457,10.082992039068102,9.909305338903964,10.06470964147969,191800,0,0,1,1,-2491200,9.99447986997407,9.930327693132117,9.997672149468878,10.687075579160197,10.095790863037108,9.504506146914018
2023-06-19,9.763044357299805,10.055569743593772,9.744761084759222,10.055569743593772,393800,1,0,1,1,-2885000,9.905829210068585,9.864623608665315,9.8544583952176,10.58588859252494,10.049169635772703,9.512450679020466
2023-06-20,9.81789207458496,9.81789207458496,9.717336694648845,9.808750438646843,258300,0,0,1,1,-2626700,9.872119202333337,9.836172379142356,9.784373614606254,10.406323018454295,9.99934892654419,9.592374834634086
2023-06-21,9.827033042907717,9.87274034769871,9.67162872969493,9.863598712381645,246700,0,1,1,1,-2380000,9.85485610710438,9.820022410915396,9.790467373433785,10.30939845996102,9.966439771652222,9.623481083343425
2023-06-22,9.772184371948242,9.827033313566968,9.6442049611618,9.827033313566968,182900,0,1,1,1,-2562900,9.823231874082925,9.790790924064122,9.747807548892338,10.277590977606968,9.944500303268432,9.611409628929897
2023-06-23,9.80875015258789,9.836175059602429,9.689912376035672,9.717336411255848,354000,0,1,1,1,-2208900,9.817706198044288,9.78366197260705,9.77827919607533,10.249824116293308,9.927131605148315,9.604439094003322
2023-06-26,9.781326293945312,9.827033601333648,9.65334687941123,9.827033601333648,172500,0,1,1,1,-2381400,9.803845863071466,9.770768907576752,9.753902258230063,10.197552619781726,9.904278087615968,9.611003555450209
2023-06-27,9.59849739074707,9.81789140759065,9.52536605179921,9.78132573811672,202700,1,1,1,1,-2584100,9.725374172473776,9.699200437785427,9.64725161671231,10.128144718637177,9.869083595275878,9.61002247191458
2023-06-28,9.45223331451416,9.689910566830555,9.45223331451416,9.689910566830555,179800,1,1,1,1,-2763900,9.620859156757533,9.59655379509045,9.531459065286292,10.143123109041472,9.83891682624817,9.534710543454867
2023-06-29,9.589354515075684,9.662485844564223,9.40652619135433,9.461375124367844,255400,1,1,1,1,-2508500,9.60866710573858,9.570126793062045,9.552788850331412,10.143681147926749,9.822462129592896,9.501243111259043
2023-06-30,9.881880760192873,10.019001785803631,9.571072172227984,9.58935456880545,449500,1,1,1,1,-2059000,9.712968358161724,9.655550878450493,9.823984906074829,10.145860512972503,9.823833322525024,9.501806132077546
2023-07-03,10.274962425231934,10.284104060293938,9.82703276872532,9.900164105632754,350200,1,1,1,1,-1708800,9.927727098639064,9.85948356146036,10.128699751417065,10.227589666983596,9.8498863697052,9.472183072426803
2023-07-04,10.46693229675293,10.476073931722524,10.174406952080313,10.192689350225203,128900,1,1,1,1,-1579900,10.133900609509698,10.080541566002934,10.372471060185255,10.348164895677426,9.888737392425536,9.429309889173647
2023-07-05,10.585770606994627,10.649760306204548,10.38465900288512,10.494356003728234,182900,0,0,0,1,-1397000,10.306734694428666,10.286724318471675,10.540063305361434,10.480428721882438,9.928959608078003,9.377490494273568
2023-07-06,10.284104347229004,10.594912973654573,10.27496271191194,10.585771338337508,235800,1,0,1,1,-1632800,10.298140542260532,10.332916721165047,10.384660010931839,10.519337926475417,9.945414161682129,9.37149039688884
2023-07-07,10.512639045715332,10.585770378028942,10.31152744595578,10.31152744595578,244700,1,1,0,1,-1388100,10.380366822527098,10.443002045556065,10.469978956566685,10.597919547417384,9.970553016662597,9.343186485907811
2023-07-10,10.503499031066896,10.640620954147408,10.402943651576692,10.512640666964472,582900,1,0,1,1,-1971000,10.427678291986245,10.517642845576672,10.515687878930331,10.665370736786413,9.99432077407837,9.323270811370326
2023-07-11,10.594913482666016,10.594913482666016,10.247539170077612,10.503498868692194,194700,0,0,1,1,-1776300,10.49183548778356,10.600203152879057,10.479122045136547,10.747626367925271,10.024944639205932,9.302262910486593
2023-07-12,10.677186012268066,10.823448691045272,10.47607439305224,10.64976110615159,266800,0,0,1,1,-1509500,10.562992213947535,10.685145604089154,10.65890303212186,10.839412714022856,10.061967468261718,9.28452222250058
2023-07-13,10.52178192138672,10.786883250244331,10.494357014688298,10.786883250244331,260100,1,1,1,1,-1769600,10.547527926446943,10.688532193775552,10.601007395439781,10.889789422003242,10.08573522567749,9.28168102935174
2023-07-14,10.329811096191406,10.613194801417414,10.311527826541068,10.576629133911016,124100,1,1,1,1,-1893700,10.46456875520594,10.617954482845155,10.418177908049962,10.91236461919515,10.102189826965333,9.292015034735515
2023-07-17,10.238396644592283,10.457790652910608,10.110417242303743,10.338952885583904,220400,1,1,1,1,-2114100,10.378373955616361,10.527744837635815,10.268868179935545,10.92200753616381,10.125957441329955,9.329907346496102
2023-07-18,10.69546890258789,10.74117620975423,10.165266231764848,10.338953824638065,291100,0,0,0,1,-1823000,10.500003351401121,10.615453299241144,10.533970448035655,10.990745510216403,10.169836282730103,9.348927055243802
2023-07-19,10.47607421875,10.7594588080116,10.33895317762639,10.7594588080116,144800,1,0,0,1,-1967800,10.491214192179589,10.60100585288401,10.524828734795996,11.017433365589882,10.202288341522216,9.38714331745455
2023-07-20,10.393800735473633,10.512639372121626,10.366376702953104,10.512639372121626,103700,1,1,1,1,-2071500,10.454305179704274,10.557664019696666,10.424272270182788,11.02657171907666,10.233369159698487,9.440166600320314
2023-07-21,10.631478309631348,10.649760707897652,10.4029426646396,10.512639669620324,195100,0,1,1,1,-1876400,10.52210565609574,10.60490757344355,10.5613938940562,11.060287704091996,10.274505567550658,9.488723431009321
2023-07-24,10.832590103149414,10.832590103149414,10.60405445432174,10.649760886651825,199400,0,0,1,1,-1677000,10.640935096972854,10.70767271259424,10.75641155354019,11.114587073539756,10.327068758010864,9.539550442481971
2023-07-25,10.668044090270996,10.969711075092494,10.549205449008843,10.83259003537156,184500,0,1,1,1,-1861500,10.651216859991603,10.724027249563541,10.728986871457444,11.102259061888734,10.38054609298706,9.658833124085387
2023-07-26,10.421224594116213,10.722891562191544,10.32981086330826,10.722891562191544,160100,1,1,1,1,-2021600,10.56347360862438,10.646492064535378,10.491309006538671,11.003373776660185,10.428995656967164,9.854617537274143
2023-07-27,10.613195419311523,10.613195419311523,10.3755190025797,10.576629749676297,937000,1,1,1,1,-1084600,10.58250752230445,10.652232290628366,10.533969947067582,10.901612194072447,10.480187702178956,10.058763210285464
2023-07-28,10.40294361114502,10.69546898437552,10.384660339420924,10.69546898437552,117500,1,1,1,1,-1202100,10.513873092543038,10.580748024696215,10.494357644980488,10.823470128994124,10.506240844726562,10.189011560459
2023-07-31,10.622337341308594,10.695468682552471,10.421225716990747,10.421225716990747,230200,1,0,1,1,-971900,10.555361895725646,10.60179114333852,10.579677246950604,10.825173483337647,10.523609590530395,10.222045697723143
2023-08-01,10.805164337158203,10.805164337158203,10.512639008927426,10.649760038587042,217200,1,0,1,1,-754700,10.650780790959603,10.67999009035459,10.707655894414609,10.865712448316097,10.54052119255066,10.215329936785222
2023-08-02,10.69546890258789,10.796025152712712,10.5857718884653,10.668044867005836,106300,1,1,1,1,-861000,10.667932865344003,10.69867505985529,10.6924219812553,10.878039404157896,10.546006107330323,10.21397281050275
2023-08-03,10.768599510192873,10.786882780529004,10.57662953063502,10.74117547648298,137300,0,1,1,1,-723700,10.706454684236228,10.736185757816868,10.710703940452298,10.892357854614753,10.570230865478516,10.24810387634228
2023-08-04,10.914862632751465,10.93314590383644,10.668044575664757,10.768599951249069,186600,0,1,1,1,-537100,10.786446845072037,10.81328496044346,10.838684370750888,10.945826172236442,10.590342044830322,10.234857917424202
2023-08-07,10.786882400512695,10.905721038128007,10.668043762897382,10.905721038128007,205000,0,1,1,1,-742100,10.786622924688622,10.824035356268586,10.786882400512695,10.967923022237223,10.604511213302612,10.241099404368
2023-08-08,10.576629638671877,10.768599620190638,10.56748887520475,10.56748887520475,155700,1,1,1,1,-897800,10.706408270474139,10.756049629112209,10.637572711355753,10.967202425923572,10.603597021102905,10.239991616282238
2023-08-09,10.457791328430176,10.58577161077988,10.338953553427162,10.57662997522754,135200,1,1,1,1,-1033000,10.611508098625507,10.661378215491133,10.460838830879071,10.960102166396329,10.59262728691101,10.225152407425693
2023-08-10,10.677186012268066,10.741175716284513,10.421225452613625,10.457791122307924,191800,1,1,1,1,-841200,10.636642602104203,10.665734341935407,10.6131957270554,10.968136838259925,10.600397491455078,10.232658144650232
2023-08-11,11.417640686035156,11.417640686035156,10.750317016942857,10.750317016942857,734800,1,1,1,1,-106400,10.935212887808468,10.926899389990165,11.195199463004391,11.15275406380627,10.654788970947266,10.156823878088261
2023-08-14,11.728449821472168,11.883854137630887,11.170823133475452,11.417641189154724,419000,1,1,1,1,312600,11.23850254499888,11.229728493040637,11.59437569752617,11.385630115813274,10.729291629791259,10.072953143769244
2023-08-15,12.12153148651123,12.12153148651123,11.509055854491816,11.71016747725198,285800,1,1,1,0,598400,11.576531557234015,11.589965437464638,11.91737294250476,11.704587202622685,10.800594758987426,9.896602315352167
2023-08-16,11.956985473632812,12.295218140504437,11.774157122863604,12.075824119581386,498700,1,1,1,1,99700,11.722312271474099,11.79579606647654,12.008786912333619,11.901027147635759,10.874640321731567,9.848253495827375
2023-08-17,12.112388610839844,12.112388610839844,11.609610041314056,11.956984309862886,456700,1,1,1,1,556400,11.871986476209536,11.995172523585456,11.944795754331247,12.099093136710184,10.960569715499878,9.82204629428957
2023-08-18,12.432339668273926,12.432339668273926,11.765015119111762,12.112389410597032,427500,1,1,1,0,983900,12.08678235098508,12.245921940276824,12.20989815188654,12.352657294505622,11.050612783432006,9.74856827235839
2023-08-21,12.194663047790527,12.487188415792126,12.057541127694003,12.423198709490366,498000,1,1,1,0,485900,12.128503140764835,12.339285104678309,12.246464197092218,12.512033151360285,11.118716430664062,9.725399709967839
2023-08-22,12.596884727478027,12.596884727478027,12.121531030940112,12.194662368869022,213900,1,1,1,0,699800,12.308142128145477,12.537114965418814,12.438433495298723,12.738118129194199,11.215158462524414,9.69219879585463
2023-08-23,12.743146896362305,12.743146896362305,12.35920782340732,12.523752891303948,363800,1,1,1,0,1063600,12.475097924168647,12.723683031947303,12.61516720537731,12.950353137920862,11.331254577636718,9.712156017352575
2023-08-24,12.834562301635742,12.834562301635742,12.56946097770501,12.688299622473178,194900,1,1,1,0,1258500,12.613146632970226,12.881864104189654,12.74619519365883,13.156022049032154,11.442322921752929,9.728623794473704
